Pixel;Week;RRS412;RRS443;RRS490;RRS555;KD490;ZEU;ZHL
2;week 11;0.00351753178983927;0.00348392920568585;0.00316713866777718;0.00202373741194606;0.112332366406918;45.1167335510254;19.0963020324707
2;week 12;0.00472415285184979;0.00390672404319048;0.00359052652493119;0.00243178498931229;0.115396305918694;46.5004730224609;19.5969905853272
2;week 13;0.00304415961727500;0.00316823227331042;0.00312572531402111;0.00186349090654403;0.103727757930756;45.2612953186035;19.1584606170654
2;week 14;0.00237526791170239;0.00323543488048017;0.00314589287154377;0.00206408882513642;0.112924449145794;43.9253349304199;18.6544647216797
2;week 15;NaN;NaN;NaN;NaN;NaN;49.1065788269043;20.5373458862305
2;week 16;0.00407664617523551;0.00413248455151916;0.00384055241011083;0.00249468162655830;0.109306849539280;48.7911224365234;20.4285869598389
2;week 17;0.00136093376204371;0.00153712171595544;0.00164633407257497;0.00194155273493379;0.370562881231308;29.3305587768555;12.9522790908813
2;week 18;0.00440841633826494;0.00418445793911815;0.00355114135891199;0.00295550189912319;0.140502303838730;33.8467941284180;14.8933410644531
2;week 19;0.00459271017462015;0.00473173568025231;0.00444745551794767;0.00243729050271213;0.0928168147802353;50.3731575012207;21.0114440917969
2;week 20;NaN;NaN;NaN;NaN;NaN;53.8523025512695;22.2448463439941
2;week 21;NaN;NaN;NaN;NaN;NaN;51.3415184020996;21.3451347351074
2;week 22;0.00383361545391381;0.00414461502805352;0.00386236025951803;0.00183772435411811;0.0828977376222611;56.3067436218262;23.1311550140381
2;week 23;0.00343708810396493;0.00421159807592630;0.00389847834594548;0.00213311146944761;0.0952870249748230;48.7135658264160;20.3982753753662
2;week 24;0.00436091935262084;0.00494559900835156;0.00449647475033999;0.00210155057720840;0.0805257484316826;56.5974082946777;23.2349987030029
2;week 25;0.00474281655624509;0.00525971315801144;0.00472188461571932;0.00217692484147847;0.0791761353611946;57.4507026672363;23.5435848236084
2;week 26;0.00410764664411545;0.00472556333988905;0.00445417407900095;0.00203679664991796;0.0793124884366989;57.7380447387695;23.6465873718262
2;week 27;0.00576463621109724;0.00571999279782176;0.00483662309125066;0.00242406083270907;0.0853500068187714;52.7233543395996;21.8390312194824
2;week 28;NaN;NaN;NaN;NaN;NaN;48.3171348571777;20.2567787170410
2;week 29;0.00420318963006139;0.00478834984824061;0.00399269768968225;0.00228470191359520;0.0969597026705742;49.9510955810547;20.8482818603516
2;week 30;0.00317677389830351;0.00406911876052618;0.00388564541935921;0.00197148881852627;0.0877186655998230;51.4001960754395;21.3670940399170
2;week 31;0.00320033635944128;0.00441823247820139;0.00408859411254525;0.00162155251018703;0.0719905197620392;60.3236541748047;24.5917015075684
2;week 32;0.00513844331726432;0.00536424852907658;0.00463839434087277;0.00179382180795074;0.0684122666716576;64.4056243896484;26.1022357940674
2;week 33;0.00387672265060246;0.00448600342497230;0.00394150242209435;0.00162992684636265;0.0736651346087456;66.7004318237305;27.0440979003906
2;week 34;0.00590557046234608;0.00507060112431645;0.00414356263354421;0.00201230449602008;0.0850222557783127;60.2635269165039;24.6628093719482
2;week 35;0.00338389375247061;0.00384655571542680;0.00326699391007423;0.00171267159748822;0.0926116853952408;53.9380912780762;22.2883319854736
2;week 36;0.00395106663927436;0.00456363847479224;0.00383402081206441;0.00185408396646380;0.0842227712273598;60.1067543029785;24.5630435943604
2;week 37;0.00506673846393824;0.00489721260964870;0.00371844321489334;0.00159903534222394;0.0763156786561012;57.6538085937500;23.6230564117432
2;week 38;NaN;NaN;NaN;NaN;NaN;48.7797431945801;20.4047698974609
2;week 39;0.00507060065865517;0.00578038021922112;0.00431511271744967;0.00189112452790141;0.0762015208601952;66.3234481811523;26.7944450378418
2;week 40;NaN;NaN;NaN;NaN;NaN;73.5484085083008;29.5565929412842
2;week 41;0.000202232258743607;0.00351698021404445;0.00278602633625269;0.00142356427386403;0.0920382291078568;60.0969314575195;24.5281867980957
2;week 42;0.0101840002462268;0.00668800109997392;0.00517600029706955;0.00227856729179621;0.0759050399065018;69.9134979248047;28.2104511260986
2;week 43;NaN;NaN;NaN;NaN;NaN;72.3336334228516;29.0763950347900
2;week 44;NaN;NaN;NaN;NaN;NaN;69.4307479858398;27.9592094421387
2;week 45;NaN;NaN;NaN;NaN;NaN;67.0292434692383;27.0640144348145
2;week 46;NaN;NaN;NaN;NaN;NaN;79.2916030883789;32.1522598266602
3;week 1;NaN;NaN;NaN;NaN;NaN;72.4798202514648;29.1688499450684
3;week 2;NaN;NaN;NaN;NaN;NaN;82.1011810302734;33.0672035217285
3;week 3;0.00808261428028345;0.00645379209890962;0.00492974370718002;0.00194798584561795;0.0691750720143318;71.4229583740234;28.7320346832275
3;week 4;NaN;NaN;NaN;NaN;NaN;70.4981994628906;28.4151802062988
3;week 5;0.00519720138981938;0.00558298546820879;0.00430275360122323;0.00161851255688816;0.0673247054219246;69.9388961791992;28.1610774993897
3;week 6;0.00293031428009272;0.00388999260030687;0.00334352208301425;0.00127589446492493;0.0722077861428261;64.8692092895508;26.2569599151611
3;week 7;0.00219155056402087;0.00282083963975310;0.00255468813702464;0.00127373705618083;0.0926223620772362;59.6610717773438;24.3628025054932
3;week 8;0.00310422456823289;0.00329438899643719;0.00287001184187830;0.00151130987796932;0.0946420282125473;56.7929496765137;23.3257827758789
3;week 9;0.00479877134785056;0.00441534724086523;0.00388562167063355;0.00144006579648703;0.0679303631186485;69.6964645385742;28.0643348693848
3;week 10;0.00608449988067150;0.00546167651191354;0.00425682403147221;0.00181879545561969;0.0746621638536453;68.6571807861328;27.7003345489502
